2026-02-02 16:02:06,311 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:02:06,311 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:02:06,312 | INFO | SKIP 40_compute_surprise
2026-02-02 16:02:06,312 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:02:32,360 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:02:32,360 | INFO | SKIP 01_save_session
2026-02-02 16:02:32,360 | INFO | RUN  02_capture_document_html
2026-02-02 16:02:40,459 | INFO | RUN  03_extract_from_document
2026-02-02 16:02:41,027 | INFO | RUN  select_events
2026-02-02 16:02:41,208 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:02:41,209 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:02:41,209 | INFO | SKIP 40_compute_surprise
2026-02-02 16:02:41,209 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:03:00,295 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:03:00,295 | INFO | SKIP 01_save_session
2026-02-02 16:03:00,296 | INFO | RUN  02_capture_document_html
2026-02-02 16:03:08,151 | INFO | RUN  03_extract_from_document
2026-02-02 16:03:08,671 | INFO | RUN  select_events
2026-02-02 16:03:08,867 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:03:08,867 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:03:08,868 | INFO | SKIP 40_compute_surprise
2026-02-02 16:03:08,868 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:03:27,953 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:03:27,953 | INFO | SKIP 01_save_session
2026-02-02 16:03:27,954 | INFO | RUN  02_capture_document_html
2026-02-02 16:03:35,752 | INFO | RUN  03_extract_from_document
2026-02-02 16:03:36,308 | INFO | RUN  select_events
2026-02-02 16:03:36,481 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:03:36,481 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:03:36,481 | INFO | SKIP 40_compute_surprise
2026-02-02 16:03:36,481 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:15:43,236 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:15:43,237 | INFO | SKIP 01_save_session
2026-02-02 16:15:43,237 | INFO | RUN  02_capture_document_html
2026-02-02 16:15:51,116 | INFO | RUN  03_extract_from_document
2026-02-02 16:15:51,611 | INFO | RUN  select_events
2026-02-02 16:15:51,774 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:15:51,775 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:15:51,775 | INFO | SKIP 40_compute_surprise
2026-02-02 16:15:51,775 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:16:45,007 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:16:45,008 | INFO | SKIP 01_save_session
2026-02-02 16:16:45,008 | INFO | RUN  02_capture_document_html
2026-02-02 16:16:52,845 | INFO | RUN  03_extract_from_document
2026-02-02 16:16:53,347 | INFO | RUN  select_events
2026-02-02 16:16:53,519 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:16:53,519 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:16:53,520 | INFO | SKIP 40_compute_surprise
2026-02-02 16:16:53,520 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:17:36,691 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:17:36,692 | INFO | SKIP 01_save_session
