time_th,open,high,low,close,tick_volume
2022-09-07T07:00:00+0700,0.99031,1.00104,0.98754,0.99933,67776
2022-09-08T07:00:00+0700,0.99923,1.00286,0.99303,0.99939,73210
2022-09-09T07:00:00+0700,0.99944,1.01129,0.99925,1.00366,68967
2022-09-12T07:00:00+0700,1.01035,1.01974,1.00594,1.01215,66291
2022-09-13T07:00:00+0700,1.01218,1.01867,0.99661,0.99704,64991
2022-09-14T07:00:00+0700,0.99675,1.00231,0.99551,0.99797,71545
2022-09-15T07:00:00+0700,0.99799,1.00173,0.99554,0.99947,57614
2022-09-16T07:00:00+0700,0.99947,1.00361,0.99448,1.00145,63488
2022-09-19T07:00:00+0700,1.00054,1.00287,0.99656,1.00208,50108
2022-09-20T07:00:00+0700,1.00205,1.00502,0.99548,0.99697,63076
2022-09-21T07:00:00+0700,0.99673,0.99757,0.98226,0.98361,74895
2022-09-22T07:00:00+0700,0.98361,0.99071,0.98078,0.98322,85858
2022-09-23T07:00:00+0700,0.9833,0.98513,0.96677,0.96859,78526
2022-09-26T07:00:00+0700,0.96682,0.97094,0.95501,0.96088,108538
2022-09-27T07:00:00+0700,0.96088,0.96699,0.95688,0.95927,84260
2022-09-28T07:00:00+0700,0.95927,0.97505,0.95356,0.97318,104768
2022-09-29T07:00:00+0700,0.97313,0.98156,0.96353,0.98149,94060
2022-09-30T07:00:00+0700,0.98149,0.98534,0.97344,0.9795,95142
2022-10-03T07:00:00+0700,0.97746,0.98441,0.97524,0.98241,84167
2022-10-04T07:00:00+0700,0.98236,0.99992,0.98057,0.9985,85191
2022-10-05T07:00:00+0700,0.99849,0.99946,0.98343,0.98685,77936
2022-10-06T07:00:00+0700,0.98689,0.99259,0.97878,0.97905,87739
2022-10-07T07:00:00+0700,0.97885,0.98164,0.97258,0.97385,77216
2022-10-10T07:00:00+0700,0.97278,0.97528,0.96812,0.96974,70111
2022-10-11T07:00:00+0700,0.96984,0.97742,0.96704,0.97049,84062
2022-10-12T07:00:00+0700,0.97039,0.97341,0.96675,0.97019,81131
2022-10-13T07:00:00+0700,0.9701,0.98055,0.96314,0.97705,85659
2022-10-14T07:00:00+0700,0.97707,0.98082,0.97074,0.97204,86924
2022-10-17T07:00:00+0700,0.97208,0.98517,0.97192,0.98371,74004
2022-10-18T07:00:00+0700,0.98322,0.98753,0.98123,0.9848,76858
2022-10-19T07:00:00+0700,0.98481,0.9872,0.9757,0.97721,73753
2022-10-20T07:00:00+0700,0.97719,0.9845,0.97543,0.97855,85187
2022-10-21T07:00:00+0700,0.97824,0.98686,0.97046,0.98618,97722
2022-10-24T07:00:00+0700,0.98725,0.98988,0.98064,0.98735,96752
2022-10-25T07:00:00+0700,0.98734,0.99763,0.98485,0.99634,75291
2022-10-26T07:00:00+0700,0.99627,1.00881,0.99431,1.00784,81482
2022-10-27T07:00:00+0700,1.00774,1.00932,0.99573,0.9964,85801
2022-10-28T07:00:00+0700,0.99637,0.99976,0.99262,0.99643,77074
2022-10-31T07:00:00+0700,0.99487,0.99654,0.98726,0.9877,60998
2022-11-01T07:00:00+0700,0.98723,0.99531,0.98525,0.98764,69396
2022-11-02T07:00:00+0700,0.98764,0.99754,0.98125,0.98169,71604
2022-11-03T07:00:00+0700,0.98159,0.98391,0.97297,0.97464,70944
2022-11-04T07:00:00+0700,0.97465,0.99661,0.97423,0.9946,81461
2022-11-07T07:00:00+0700,0.99059,1.00336,0.99002,1.00195,73081
2022-11-08T07:00:00+0700,1.00197,1.00959,0.99719,1.00729,63431
2022-11-09T07:00:00+0700,1.00732,1.00878,0.99924,1.00107,77769
2022-11-10T07:00:00+0700,1.00013,1.02214,0.99351,1.02081,85045
2022-11-11T07:00:00+0700,1.02055,1.03637,1.01628,1.035,91100
2022-11-14T07:00:00+0700,1.03327,1.03581,1.02711,1.0326,82927
2022-11-15T07:00:00+0700,1.03257,1.04801,1.02797,1.03481,96547
2022-11-16T07:00:00+0700,1.03483,1.0438,1.03306,1.03938,86528
2022-11-17T07:00:00+0700,1.03941,1.04061,1.03049,1.03639,74934
2022-11-18T07:00:00+0700,1.0364,1.03953,1.03131,1.03251,63398
2022-11-21T07:00:00+0700,1.03212,1.03326,1.02223,1.02402,64621
2022-11-22T07:00:00+0700,1.02403,1.03077,1.02392,1.03025,55496
2022-11-23T07:00:00+0700,1.03026,1.04046,1.02961,1.03957,61774
2022-11-24T07:00:00+0700,1.03954,1.04481,1.03815,1.04093,48662
2022-11-25T07:00:00+0700,1.04035,1.04288,1.03543,1.03967,63350
2022-11-28T07:00:00+0700,1.03709,1.04962,1.03299,1.03395,76501
2022-11-29T07:00:00+0700,1.03391,1.03939,1.03196,1.03281,74913
2022-11-30T07:00:00+0700,1.03263,1.04283,1.02898,1.04052,82502
2022-12-01T07:00:00+0700,1.0404,1.05334,1.0393,1.05131,92840
2022-12-02T07:00:00+0700,1.05147,1.05446,1.04372,1.05405,84375
2022-12-05T07:00:00+0700,1.05299,1.05943,1.04798,1.0485,77620
2022-12-06T07:00:00+0700,1.04885,1.05324,1.0459,1.04651,75495
2022-12-07T07:00:00+0700,1.04606,1.05491,1.04429,1.05081,73385
2022-12-08T07:00:00+0700,1.05083,1.05643,1.04893,1.05563,70900
2022-12-09T07:00:00+0700,1.05569,1.05878,1.051,1.05313,67889
2022-12-12T07:00:00+0700,1.05271,1.05795,1.05057,1.05325,58895
2022-12-13T07:00:00+0700,1.05284,1.06729,1.05276,1.0631599999999999,73622
2022-12-14T07:00:00+0700,1.06315,1.06946,1.06186,1.06817,80029
2022-12-15T07:00:00+0700,1.06816,1.07355,1.0592,1.06265,79150
2022-12-16T07:00:00+0700,1.06247,1.06624,1.05844,1.05851,70844
2022-12-19T07:00:00+0700,1.05891,1.06575,1.05755,1.06063,64897
2022-12-20T07:00:00+0700,1.06055,1.0658,1.05785,1.0624,86532
2022-12-21T07:00:00+0700,1.06235,1.0644,1.059,1.06033,65039
2022-12-22T07:00:00+0700,1.06038,1.06589,1.05729,1.05941,70667
2022-12-23T07:00:00+0700,1.05959,1.06324,1.05862,1.06136,61606
2022-12-27T07:00:00+0700,1.06349,1.06689,1.06111,1.06384,50035
2022-12-28T07:00:00+0700,1.06387,1.0674,1.06062,1.06114,61328
2022-12-29T07:00:00+0700,1.06115,1.06898,1.06074,1.06604,50987
2022-12-30T07:00:00+0700,1.066,1.07127,1.06382,1.07076,59586
2023-01-03T07:00:00+0700,1.06659,1.0683,1.05192,1.05467,75767
2023-01-04T07:00:00+0700,1.05463,1.0635,1.05403,1.06027,73428
2023-01-05T07:00:00+0700,1.06029,1.0631,1.05146,1.05209,70438
2023-01-06T07:00:00+0700,1.05217,1.06475,1.04829,1.06432,69942
2023-01-09T07:00:00+0700,1.06407,1.07601,1.0638,1.07284,70453
2023-01-10T07:00:00+0700,1.07272,1.07589,1.07117,1.07324,69796
2023-01-11T07:00:00+0700,1.07321,1.07759,1.07251,1.07562,57852
2023-01-12T07:00:00+0700,1.07563,1.08664,1.07277,1.08525,79670
2023-01-13T07:00:00+0700,1.08409,1.0867499999999999,1.078,1.08301,71793
2023-01-16T07:00:00+0700,1.08334,1.08735,1.08011,1.08225,48112
2023-01-17T07:00:00+0700,1.08228,1.08687,1.07742,1.07872,71479
2023-01-18T07:00:00+0700,1.07905,1.0887,1.07656,1.0793,83980
2023-01-19T07:00:00+0700,1.0793,1.08394,1.07819,1.08323,72333
2023-01-20T07:00:00+0700,1.08317,1.08584,1.08018,1.08555,85269
2023-01-23T07:00:00+0700,1.08674,1.09264,1.08459,1.08703,75027
2023-01-24T07:00:00+0700,1.08706,1.08975,1.08347,1.08845,49415
2023-01-25T07:00:00+0700,1.08845,1.09232,1.08569,1.09145,54705
2023-01-26T07:00:00+0700,1.09143,1.0929,1.08502,1.08905,64267
2023-01-27T07:00:00+0700,1.08911,1.08999,1.08374,1.08684,52410
2023-01-30T07:00:00+0700,1.08633,1.09132,1.08388,1.08484,59389
2023-01-31T07:00:00+0700,1.08478,1.08744,1.08016,1.08615,60268
2023-02-01T07:00:00+0700,1.08619,1.1,1.08519,1.09879,65694
2023-02-02T07:00:00+0700,1.09881,1.10325,1.08852,1.09083,73616
2023-02-03T07:00:00+0700,1.09083,1.09396,1.07919,1.07945,71939
2023-02-06T07:00:00+0700,1.07832,1.07985,1.07092,1.07242,58169
2023-02-07T07:00:00+0700,1.07259,1.07662,1.06687,1.0723,71833
2023-02-08T07:00:00+0700,1.07231,1.07602,1.0709,1.07096,60459
